datetime,direct.bid,direct.ask
2015-01-02 15:12:55,108.82,108.83
2015-01-02 15:12:56,108.82,108.83
2015-01-02 15:12:57,108.82,108.83
2015-01-02 15:12:58,108.8,108.81
2015-01-02 15:12:59,108.8,108.81
2015-01-02 15:13:00,108.78,108.79
2015-01-02 15:13:01,108.77,108.78
2015-01-02 15:13:02,108.78,108.79
2015-01-02 15:13:03,108.8,108.81
2015-01-02 15:13:04,108.8,108.81
2015-01-02 15:13:05,108.81,108.82
2015-01-02 15:13:06,108.81,108.82
2015-01-02 15:13:07,108.81,108.82
2015-01-02 15:13:08,108.81,108.82
2015-01-02 15:13:09,108.81,108.82
2015-01-02 15:13:10,108.81,108.82
2015-01-02 15:13:11,108.81,108.82
2015-01-02 15:13:12,108.81,108.82
2015-01-02 15:13:13,108.81,108.82
2015-01-02 15:13:14,108.81,108.82
2015-01-02 15:13:15,108.81,108.82
2015-01-02 15:13:16,108.81,108.82
2015-01-02 15:13:17,108.81,108.82
2015-01-02 15:13:18,108.81,108.82
2015-01-02 15:13:19,108.81,108.82
2015-01-02 15:13:20,108.81,108.82
2015-01-02 15:13:21,108.81,108.82
2015-01-02 15:13:22,108.81,108.82
2015-01-02 15:13:23,108.81,108.82
2015-01-02 15:13:24,108.81,108.82
2015-01-02 15:13:25,108.81,108.82
2015-01-02 15:13:26,108.82,108.83
2015-01-02 15:13:27,108.82,108.83
2015-01-02 15:13:28,108.84,108.85
2015-01-02 15:13:29,108.83,108.84
2015-01-02 15:13:30,108.83,108.84
2015-01-02 15:13:31,108.83,108.84
2015-01-02 15:13:32,108.84,108.85
2015-01-02 15:13:33,108.84,108.85
2015-01-02 15:13:34,108.84,108.85
2015-01-02 15:13:35,108.84,108.85
2015-01-02 15:13:36,108.84,108.85
2015-01-02 15:13:37,108.84,108.85
2015-01-02 15:13:38,108.85,108.86
2015-01-02 15:13:39,108.85,108.86
2015-01-02 15:13:40,108.85,108.86
2015-01-02 15:13:41,108.84,108.85
2015-01-02 15:13:42,108.83,108.84
2015-01-02 15:13:43,108.82,108.83
2015-01-02 15:13:44,108.82,108.83
2015-01-02 15:13:45,108.84,108.85
2015-01-02 15:13:46,108.84,108.85
2015-01-02 15:13:47,108.84,108.85
2015-01-02 15:13:48,108.83,108.84
2015-01-02 15:13:49,108.83,108.84
2015-01-02 15:13:50,108.83,108.84
2015-01-02 15:13:51,108.83,108.84
2015-01-02 15:13:52,108.83,108.84
2015-01-02 15:13:53,108.83,108.84
2015-01-02 15:13:54,108.82,108.83
2015-01-02 15:13:55,108.83,108.84
2015-01-02 15:13:56,108.82,108.83
2015-01-02 15:13:57,108.83,108.84
2015-01-02 15:13:58,108.82,108.83
2015-01-02 15:13:59,108.82,108.83
2015-01-02 15:14:00,108.82,108.83
2015-01-02 15:14:01,108.8,108.82
2015-01-02 15:14:02,108.79,108.8
2015-01-02 15:14:03,108.79,108.8
2015-01-02 15:14:04,108.79,108.8
2015-01-02 15:14:05,108.79,108.8
2015-01-02 15:14:06,108.79,108.8
2015-01-02 15:14:07,108.79,108.8
2015-01-02 15:14:08,108.78,108.79
2015-01-02 15:14:09,108.78,108.79
2015-01-02 15:14:10,108.78,108.79
2015-01-02 15:14:11,108.79,108.8
2015-01-02 15:14:12,108.79,108.8
2015-01-02 15:14:13,108.79,108.8
2015-01-02 15:14:14,108.76,108.78
2015-01-02 15:14:15,108.77,108.78
2015-01-02 15:14:16,108.76,108.77
2015-01-02 15:14:17,108.76,108.77
2015-01-02 15:14:18,108.76,108.76
2015-01-02 15:14:19,108.76,108.76
2015-01-02 15:14:20,108.77,108.78
2015-01-02 15:14:21,108.76,108.77
2015-01-02 15:14:22,108.76,108.77
2015-01-02 15:14:23,108.75,108.76
2015-01-02 15:14:24,108.75,108.76
2015-01-02 15:14:25,108.76,108.77
2015-01-02 15:14:26,108.76,108.77
2015-01-02 15:14:27,108.76,108.77
2015-01-02 15:14:28,108.76,108.77
2015-01-02 15:14:29,108.76,108.77
2015-01-02 15:14:30,108.77,108.78
2015-01-02 15:14:31,108.78,108.79
2015-01-02 15:14:32,108.78,108.79
2015-01-02 15:14:33,108.79,108.8
2015-01-02 15:14:34,108.79,108.8
2015-01-02 15:14:35,108.79,108.8
2015-01-02 15:14:36,108.79,108.8
2015-01-02 15:14:37,108.78,108.79
2015-01-02 15:14:38,108.78,108.79
2015-01-02 15:14:39,108.79,108.8
2015-01-02 15:14:40,108.8,108.81
2015-01-02 15:14:41,108.82,108.83
2015-01-02 15:14:42,108.82,108.83
2015-01-02 15:14:43,108.82,108.83
2015-01-02 15:14:44,108.83,108.84
2015-01-02 15:14:45,108.82,108.83
2015-01-02 15:14:46,108.82,108.83
2015-01-02 15:14:47,108.82,108.83
2015-01-02 15:14:48,108.82,108.83
2015-01-02 15:14:49,108.82,108.83
2015-01-02 15:14:50,108.82,108.83
2015-01-02 15:14:51,108.79,108.8
2015-01-02 15:14:52,108.8,108.81
2015-01-02 15:14:53,108.8,108.82
2015-01-02 15:14:54,108.81,108.82
2015-01-02 15:14:55,108.81,108.82
2015-01-02 15:14:56,108.81,108.82
2015-01-02 15:14:57,108.8,108.81
2015-01-02 15:14:58,108.8,108.81
2015-01-02 15:14:59,108.8,108.81
2015-01-02 15:15:00,108.79,108.8
2015-01-02 15:15:01,108.8,108.81
2015-01-02 15:15:02,108.8,108.81
2015-01-02 15:15:03,108.81,108.82
2015-01-02 15:15:04,108.81,108.82
2015-01-02 15:15:05,108.8,108.81
2015-01-02 15:15:06,108.81,108.82
2015-01-02 15:15:07,108.81,108.82
2015-01-02 15:15:08,108.84,108.85
2015-01-02 15:15:09,108.84,108.85
2015-01-02 15:15:10,108.85,108.86
2015-01-02 15:15:11,108.83,108.84
2015-01-02 15:15:12,108.84,108.85
2015-01-02 15:15:13,108.84,108.85
2015-01-02 15:15:14,108.83,108.84
2015-01-02 15:15:15,108.84,108.85
2015-01-02 15:15:16,108.84,108.85
2015-01-02 15:15:17,108.86,108.87
2015-01-02 15:15:18,108.86,108.87
2015-01-02 15:15:19,108.86,108.87
2015-01-02 15:15:20,108.86,108.87
2015-01-02 15:15:21,108.86,108.87
2015-01-02 15:15:22,108.83,108.84
2015-01-02 15:15:23,108.85,108.86
2015-01-02 15:15:24,108.84,108.85
2015-01-02 15:15:25,108.85,108.86
2015-01-02 15:15:26,108.85,108.86
2015-01-02 15:15:27,108.86,108.87
2015-01-02 15:15:28,108.87,108.88
2015-01-02 15:15:29,108.87,108.88
2015-01-02 15:15:30,108.87,108.88
2015-01-02 15:15:31,108.89,108.9
2015-01-02 15:15:32,108.91,108.92
2015-01-02 15:15:33,108.91,108.93
2015-01-02 15:15:34,108.93,108.94
2015-01-02 15:15:35,108.93,108.94
2015-01-02 15:15:36,108.93,108.94
2015-01-02 15:15:37,108.93,108.94
2015-01-02 15:15:38,108.94,108.95
2015-01-02 15:15:39,108.94,108.95
2015-01-02 15:15:40,108.94,108.95
2015-01-02 15:15:41,108.93,108.94
2015-01-02 15:15:42,108.93,108.94
2015-01-02 15:15:43,108.93,108.95
2015-01-02 15:15:44,108.94,108.95
2015-01-02 15:15:45,108.94,108.95
2015-01-02 15:15:46,108.94,108.95
2015-01-02 15:15:47,108.94,108.95
2015-01-02 15:15:48,108.94,108.95
2015-01-02 15:15:49,108.94,108.95
2015-01-02 15:15:50,108.94,108.95
2015-01-02 15:15:51,108.94,108.95
2015-01-02 15:15:52,108.94,108.95
2015-01-02 15:15:53,108.94,108.95
2015-01-02 15:15:54,108.94,108.95
2015-01-02 15:15:55,108.94,108.95
2015-01-02 15:15:56,108.94,108.95
2015-01-02 15:15:57,108.96,108.97
2015-01-02 15:15:58,108.96,108.97
2015-01-02 15:15:59,108.96,108.97
2015-01-02 15:16:00,108.96,108.97
2015-01-02 15:16:01,108.95,108.96
2015-01-02 15:16:02,108.95,108.97
2015-01-02 15:16:03,108.94,108.96
2015-01-02 15:16:04,108.94,108.96
2015-01-02 15:16:05,108.94,108.96
2015-01-02 15:16:06,108.95,108.96
2015-01-02 15:16:07,108.95,108.96
2015-01-02 15:16:08,108.96,108.96
2015-01-02 15:16:09,108.96,108.97
2015-01-02 15:16:10,108.96,108.97
2015-01-02 15:16:11,108.96,108.97
2015-01-02 15:16:12,108.93,108.94
2015-01-02 15:16:13,108.93,108.94
2015-01-02 15:16:14,108.95,108.96
2015-01-02 15:16:15,108.94,108.95
2015-01-02 15:16:16,108.95,108.96
2015-01-02 15:16:17,108.95,108.96
2015-01-02 15:16:18,108.94,108.95
2015-01-02 15:16:19,108.94,108.95
2015-01-02 15:16:20,108.92,108.93
2015-01-02 15:16:21,108.93,108.94
2015-01-02 15:16:22,108.93,108.94
2015-01-02 15:16:23,108.94,108.95
2015-01-02 15:16:24,108.94,108.95
2015-01-02 15:16:25,108.94,108.95
2015-01-02 15:16:26,108.94,108.95
2015-01-02 15:16:27,108.94,108.95
2015-01-02 15:16:28,108.94,108.95
2015-01-02 15:16:29,108.94,108.95
2015-01-02 15:16:30,108.94,108.95
2015-01-02 15:16:31,108.94,108.95
2015-01-02 15:16:32,108.93,108.94
2015-01-02 15:16:33,108.92,108.93
2015-01-02 15:16:34,108.94,108.95
2015-01-02 15:16:35,108.94,108.95
2015-01-02 15:16:36,108.94,108.95
2015-01-02 15:16:37,108.94,108.95
2015-01-02 15:16:38,108.94,108.95
2015-01-02 15:16:39,108.94,108.95
2015-01-02 15:16:40,108.93,108.94
2015-01-02 15:16:41,108.92,108.93
2015-01-02 15:16:42,108.93,108.94
2015-01-02 15:16:43,108.93,108.94
2015-01-02 15:16:44,108.93,108.94
